"","array","site","buff_dist","red_squirrel","absent_red_squirrel","lc_grassland","lc_coniferous","lc_mixed","lc_broadleaf","lc_shrub"
"4435","LU1","LU1_74",3750,2,63,0.06684528,0.360832769,0.062465877,0.163645385,0.178635308
"4436","LU1","LU1_74",4000,2,63,0.061649182,0.353422905,0.059983578,0.168659032,0.178233854
"4437","LU1","LU1_74",4250,2,63,0.056898341,0.348100496,0.060686473,0.178998439,0.167616824
"4438","LU1","LU1_74",4500,2,63,0.0527378,0.336673895,0.061876053,0.195881828,0.156176427
"4439","LU1","LU1_74",4750,2,63,0.049876852,0.326731173,0.061973138,0.210059601,0.145387217
"4440","LU1","LU1_74",5000,2,63,0.047611025,0.321863723,0.058897851,0.217430591,0.139408902
"4441","LU1","LU1_75",250,1,64,0,0.830470821,0,0,0.030038562
"4442","LU1","LU1_75",500,1,64,0,0.47685277,0,0.038082326,0.227159708
"4443","LU1","LU1_75",750,1,64,0.04116837,0.421756246,0,0.154522764,0.173479247
"4444","LU1","LU1_75",1000,1,64,0.055377494,0.41798569,0,0.190521805,0.1801451
"4445","LU1","LU1_75",1250,1,64,0.05741101,0.440585953,0.000196096,0.192873341,0.17457316
"4446","LU1","LU1_75",1500,1,64,0.065760167,0.412948596,0.012728699,0.181663273,0.165037482
"4447","LU1","LU1_75",1750,1,64,0.070842297,0.387725862,0.01961717,0.18915855,0.176381171
"4448","LU1","LU1_75",2000,1,64,0.067808045,0.361678691,0.027036718,0.218407502,0.17991979
"4449","LU1","LU1_75",2250,1,64,0.072161674,0.352531095,0.028012806,0.243700964,0.170260824
"4450","LU1","LU1_75",2500,1,64,0.070954203,0.346902288,0.026191807,0.262630335,0.173188688
"4451","LU1","LU1_75",2750,1,64,0.07494884,0.344528917,0.021730342,0.269562256,0.174787742
"4452","LU1","LU1_75",3000,1,64,0.068704163,0.338940035,0.021302566,0.27760723,0.174352586
"4453","LU1","LU1_75",3250,1,64,0.06732749,0.335470299,0.024035905,0.293017189,0.16293092
"4454","LU1","LU1_75",3500,1,64,0.064839452,0.337059247,0.023777864,0.305342285,0.157240465
"4455","LU1","LU1_75",3750,1,64,0.060483197,0.335288396,0.025922827,0.324099024,0.14879205
"4456","LU1","LU1_75",4000,1,64,0.056482027,0.337226005,0.027788132,0.338556492,0.138993149
"4457","LU1","LU1_75",4250,1,64,0.051714289,0.345040172,0.027268369,0.343336713,0.13272712
"4458","LU1","LU1_75",4500,1,64,0.048201024,0.348518071,0.026209407,0.347780441,0.130036706
"4459","LU1","LU1_75",4750,1,64,0.046107705,0.350820864,0.027608818,0.348606104,0.129302164
"4460","LU1","LU1_75",5000,1,64,0.045897559,0.35204716,0.02883946,0.353857807,0.125078995
"4461","LU1","LU1_76",250,1,27,0.14018295,0.734271488,0,0,0
"4462","LU1","LU1_76",500,1,27,0.124006549,0.606217961,0,0.088416949,0.004882665
"4463","LU1","LU1_76",750,1,27,0.109771217,0.435527174,0,0.152690194,0.09854832
"4464","LU1","LU1_76",1000,1,27,0.124511936,0.372417734,0.006107078,0.170402064,0.096040579
"4465","LU1","LU1_76",1250,1,27,0.118010031,0.357027845,0.017644174,0.178025882,0.118818475
"4466","LU1","LU1_76",1500,1,27,0.10145735,0.379880072,0.018182903,0.19101256,0.112487327
"4467","LU1","LU1_76",1750,1,27,0.086567757,0.381833716,0.018543767,0.192250921,0.107573637
"4468","LU1","LU1_76",2000,1,27,0.078223516,0.391071051,0.027592845,0.190234417,0.114486358
"4469","LU1","LU1_76",2250,1,27,0.072175936,0.38698066,0.030538248,0.214073442,0.118047413
"4470","LU1","LU1_76",2500,1,27,0.074311475,0.38639008,0.027813005,0.239970977,0.1125396
"4471","LU1","LU1_76",2750,1,27,0.068739622,0.376386326,0.023882577,0.260602363,0.11275962
"4472","LU1","LU1_76",3000,1,27,0.066882996,0.36485388,0.021962049,0.288672679,0.111283338
"4473","LU1","LU1_76",3250,1,27,0.065271952,0.3464211,0.023708249,0.316977484,0.114062251
"4474","LU1","LU1_76",3500,1,27,0.059470163,0.32733455,0.022600859,0.340094285,0.1229643
"4475","LU1","LU1_76",3750,1,27,0.05741059,0.311065349,0.021535694,0.352128436,0.13482739
"4476","LU1","LU1_76",4000,1,27,0.057165396,0.30097167,0.023499022,0.35783268,0.137659481
"4477","LU1","LU1_76",4250,1,27,0.0556054,0.294620954,0.023364948,0.366725788,0.136379184
"4478","LU1","LU1_76",4500,1,27,0.052734086,0.293689614,0.027092064,0.37137666,0.131344932
"4479","LU1","LU1_76",4750,1,27,0.050532148,0.292297219,0.028907165,0.38058732,0.126232459
"4480","LU1","LU1_76",5000,1,27,0.049197083,0.295846897,0.028455849,0.386382805,0.124124033
"4481","LU1","LU1_77",250,0,14,0,0.787631737,0,0,0
"4482","LU1","LU1_77",500,0,14,0,0.628237529,0.067441479,0.012328287,0.045755445
"4483","LU1","LU1_77",750,0,14,0,0.481959316,0.046621854,0.029128044,0.145557598
"4484","LU1","LU1_77",1000,0,14,0,0.504688361,0.026224793,0.029427661,0.174414347
"4485","LU1","LU1_77",1250,0,14,0,0.4520468,0.016783867,0.087174818,0.205343309
"4486","LU1","LU1_77",1500,0,14,0.004587765,0.422436373,0.011655463,0.131111119,0.200876157
"4487","LU1","LU1_77",1750,0,14,0.00972691999999999,0.392837842,0.00856319799999999,0.17787635,0.190201104
"4488","LU1","LU1_77",2000,0,14,0.010247701,0.355705876,0.01210636,0.230651402,0.1861093
"4489","LU1","LU1_77",2250,0,14,0.011704054,0.346143315,0.014191314,0.260284695,0.166287143
"4490","LU1","LU1_77",2500,0,14,0.018818993,0.362146176,0.013984191,0.268035875,0.150433447
"4491","LU1","LU1_77",2750,0,14,0.021391209,0.385324586,0.020257843,0.255342495,0.146209594
"4492","LU1","LU1_77",3000,0,14,0.020321497,0.404971951,0.025205165,0.246832662,0.141585721
"4493","LU1","LU1_77",3250,0,14,0.024360786,0.418393534,0.029882904,0.241211432,0.139008902
"4494","LU1","LU1_77",3500,0,14,0.03302331,0.425307504,0.036333753,0.233376253,0.131518485
"4495","LU1","LU1_77",3750,0,14,0.034887114,0.434317478,0.035851884,0.23089729,0.122324973
"4496","LU1","LU1_77",4000,0,14,0.039178286,0.437782091,0.036941045,0.230132222,0.112600556
"4497","LU1","LU1_77",4250,0,14,0.045400845,0.433836145,0.041478715,0.228325955,0.107197174
"4498","LU1","LU1_77",4500,0,14,0.048094107,0.429442058,0.045015001,0.227163215,0.106684566
"4499","LU1","LU1_77",4750,0,14,0.048645729,0.428510987,0.052186247,0.229031235,0.103845065
"4500","LU1","LU1_77",5000,0,14,0.051274582,0.426735724,0.055463218,0.234996842,0.099838696
"4501","LU1","LU1_78",250,0,64,0,1,0,0,0
"4502","LU1","LU1_78",500,0,64,0,0.845329452,0,0,0.154670548
"4503","LU1","LU1_78",750,0,64,0,0.818919069,0,0,0.181080931
"4504","LU1","LU1_78",1000,0,64,0,0.81876053,0,0.017444369,0.163795101
"4505","LU1","LU1_78",1250,0,64,0,0.705225728,0.011035749,0.099687388,0.184051135
"4506","LU1","LU1_78",1500,0,64,0.001991772,0.614568801,0.028012468,0.159993846,0.194869683
"4507","LU1","LU1_78",1750,0,64,0.00484385,0.547938834,0.037606241,0.173299281,0.214436867
"4508","LU1","LU1_78",2000,0,64,0.005741897,0.511479389,0.035887368,0.166742083,0.234679559
"4509","LU1","LU1_78",2250,0,64,0.006460381,0.52675387,0.028433312,0.147241365,0.224650097
"4510","LU1","LU1_78",2500,0,64,0.015259292,0.549006303,0.023030982,0.131490214,0.201290198
"4511","LU1","LU1_78",2750,0,64,0.01806528,0.567698784,0.019206431,0.122177976,0.183262445
"4512","LU1","LU1_78",3000,0,64,0.027522699,0.574513513,0.017116878,0.122038029,0.165029898
"4513","LU1","LU1_78",3250,0,64,0.030869522,0.5830004,0.016253734,0.123758076,0.152872568
"4514","LU1","LU1_78",3500,0,64,0.032311678,0.590757201,0.018831826,0.124977757,0.140800093
"4515","LU1","LU1_78",3750,0,64,0.0335941,0.59283007,0.020697326,0.128863525,0.132387173
"4516","LU1","LU1_78",4000,0,64,0.037187136,0.592345551,0.020163465,0.132632454,0.132594818
"4517","LU1","LU1_78",4250,0,64,0.038008687,0.58796366,0.022661414,0.140831311,0.133699716
"4518","LU1","LU1_78",4500,0,64,0.039328842,0.584945602,0.027675517,0.143154057,0.134218263
"4519","LU1","LU1_78",4750,0,64,0.044612,0.580034318,0.031456188,0.141999306,0.133181313
"4520","LU1","LU1_78",5000,0,64,0.045857055,0.582625881,0.032256079,0.13933605,0.132347717
"4521","LU1","LU1_79",250,2,62,0.158641426,0.841358574,0,0,0
"4522","LU1","LU1_79",500,2,62,0.122022952,0.763668643,0,0,0.114308405
"4523","LU1","LU1_79",750,2,62,0.096677634,0.628044596,0,0,0.27527777
"4524","LU1","LU1_79",1000,2,62,0.067815647,0.624866711,0,0,0.307317642
"4525","LU1","LU1_79",1250,2,62,0.05259758,0.633401916,0.00433722299999999,0,0.309663281
"4526","LU1","LU1_79",1500,2,62,0.04752841,0.618157444,0.008570624,0,0.325743522
"4527","LU1","LU1_79",1750,2,62,0.054871179,0.61933112,0.010914268,0.008382836,0.306500597
"4528","LU1","LU1_79",2000,2,62,0.060921166,0.588178859,0.00971229699999999,0.044959933,0.293510545
"4529","LU1","LU1_79",2250,2,62,0.055308203,0.550538094,0.018725552,0.073729689,0.283031696
"4530","LU1","LU1_79",2500,2,62,0.049527026,0.526112078,0.024411008,0.0954019,0.273575528
"4531","LU1","LU1_79",2750,2,62,0.046687804,0.521279754,0.026918985,0.107919492,0.262004825
"4532","LU1","LU1_79",3000,2,62,0.045946373,0.527554781,0.030810755,0.112982164,0.248410374
"4533","LU1","LU1_79",3250,2,62,0.046193098,0.536893439,0.029366272,0.118160301,0.236617691
"4534","LU1","LU1_79",3500,2,62,0.046318488,0.547547987,0.029442077,0.109990946,0.226791993
"4535","LU1","LU1_79",3750,2,62,0.048484353,0.544951553,0.034069175,0.107628902,0.216890402
"4536","LU1","LU1_79",4000,2,62,0.048842703,0.544764791,0.038735788,0.105275852,0.208779154
"4537","LU1","LU1_79",4250,2,62,0.049688004,0.551211707,0.03578895,0.107265997,0.197852302
"4538","LU1","LU1_79",4500,2,62,0.049297167,0.560989723,0.033764442,0.107941424,0.185386175
"4539","LU1","LU1_79",4750,2,62,0.053449686,0.570168219,0.030830675,0.109058404,0.174460329
"4540","LU1","LU1_79",5000,2,62,0.051782024,0.580929308,0.029362583,0.111793292,0.167280745
"4541","LU1","LU1_80",250,0,64,0,0.363896046,0,0.218166158,0.126803615
"4542","LU1","LU1_80",500,0,64,0,0.404054985,0,0.056866597,0.375577754
"4543","LU1","LU1_80",750,0,64,0,0.495383937,0,0.114634598,0.284018856
"4544","LU1","LU1_80",1000,0,64,0.000133424,0.441968458,0,0.227183133,0.232861537
"4545","LU1","LU1_80",1250,0,64,0.02890004,0.367984705,8.96000000000001e-05,0.288877224,0.208366821
"4546","LU1","LU1_80",1500,0,64,0.030105754,0.376572753,0.00669499399999999,0.306392978,0.187739838
"4547","LU1","LU1_80",1750,0,64,0.026786677,0.425337244,0.013213557,0.284427608,0.172308367
"4548","LU1","LU1_80",2000,0,64,0.032782481,0.438207419,0.010485141,0.265885577,0.169641795
"4549","LU1","LU1_80",2250,0,64,0.038238839,0.45519084,0.011389038,0.252736536,0.155001854
"4550","LU1","LU1_80",2500,0,64,0.03771185,0.473088259,0.010091623,0.244141505,0.141144008
"4551","LU1","LU1_80",2750,0,64,0.039762991,0.485664151,0.020100747,0.229332985,0.127281301
"4552","LU1","LU1_80",3000,0,64,0.041374434,0.488633161,0.025962489,0.223258951,0.119660248
"4553","LU1","LU1_80",3250,0,64,0.040195834,0.498378187,0.025927173,0.216132946,0.116349876
"4554","LU1","LU1_80",3500,0,64,0.038785588,0.498269102,0.027906922,0.209841509,0.118750105
"4555","LU1","LU1_80",3750,0,64,0.041275068,0.487071704,0.034194933,0.215086982,0.11747715
"4556","LU1","LU1_80",4000,0,64,0.045336212,0.477311964,0.03919781,0.223660656,0.112701129
"4557","LU1","LU1_80",4250,0,64,0.045769762,0.47448279,0.042001568,0.230723952,0.10506949
"4558","LU1","LU1_80",4500,0,64,0.045302242,0.466794063,0.044638988,0.242355276,0.09991162
"4559","LU1","LU1_80",4750,0,64,0.049035673,0.453265111,0.047499598,0.256008958,0.094993557
"4560","LU1","LU1_80",5000,0,64,0.053602151,0.442501281,0.048038488,0.266054504,0.091332671
"4561","LU1","LU1_82",250,21,44,0,0.92469589,0,0,0
"4562","LU1","LU1_82",500,21,44,0,0.877308884,0,0.004839007,0.017160765
"4563","LU1","LU1_82",750,21,44,0,0.892248556,0,0.015746316,0.024967397
"4564","LU1","LU1_82",1000,21,44,0,0.899782289,0,0.015909886,0.032491346
"4565","LU1","LU1_82",1250,21,44,0,0.889760444,0.016657212,0.019836749,0.028343029
"4566","LU1","LU1_82",1500,21,44,0,0.86081566,0.044763933,0.032652473,0.025347763
"4567","LU1","LU1_82",1750,21,44,0,0.82426715,0.06126432,0.050985878,0.033150624
"4568","LU1","LU1_82",2000,21,44,0,0.790881876,0.067299558,0.072508938,0.042769527
"4569","LU1","LU1_82",2250,21,44,0,0.768461445,0.076040458,0.086593704,0.04521833
"4570","LU1","LU1_82",2500,21,44,0,0.739356695,0.103453234,0.089484377,0.046291334
"4571","LU1","LU1_82",2750,21,44,0,0.726025843,0.124662122,0.081662349,0.048045455
"4572","LU1","LU1_82",3000,21,44,0,0.71523544,0.124398135,0.08593645,0.055762144
"4573","LU1","LU1_82",3250,21,44,0,0.706815731,0.1173463,0.095234531,0.057053134
"4574","LU1","LU1_82",3500,21,44,0,0.694866133,0.112108516,0.104501651,0.058534371
"4575","LU1","LU1_82",3750,21,44,0,0.678840751,0.108657519,0.112265338,0.063310978
"4576","LU1","LU1_82",4000,21,44,0,0.661189382,0.110442527,0.129891071,0.060347253
"4577","LU1","LU1_82",4250,21,44,0.000694307,0.647572282,0.11352405,0.138340152,0.05851025
"4578","LU1","LU1_82",4500,21,44,0.001170054,0.637439393,0.118531473,0.143977638,0.055190815
"4579","LU1","LU1_82",4750,21,44,0.00136027199999999,0.62675809,0.122861086,0.151390903,0.055545314
"4580","LU1","LU1_82",5000,21,44,0.001795898,0.61606285,0.123802843,0.161212223,0.055680337
"4581","LU1","LU1_83",250,10,54,0,0.983107787,0,0.016892213,0
"4582","LU1","LU1_83",500,10,54,0.081378124,0.683867153,0,0.160633498,0.0616751
"4583","LU1","LU1_83",750,10,54,0.129230853,0.532613427,0.000822114,0.206220027,0.028648713
"4584","LU1","LU1_83",1000,10,54,0.104378091,0.533386622,0.026006862,0.183250475,0.034062115
"4585","LU1","LU1_83",1250,10,54,0.087740472,0.524788432,0.038927968,0.204114043,0.029067641
"4586","LU1","LU1_83",1500,10,54,0.086527919,0.502743384,0.038077876,0.226245002,0.05467372
"4587","LU1","LU1_83",1750,10,54,0.077661104,0.467797956,0.042460552,0.255603945,0.077285282
"4588","LU1","LU1_83",2000,10,54,0.068440568,0.453623416,0.040358366,0.290735235,0.079724677
"4589","LU1","LU1_83",2250,10,54,0.060927227,0.45118178,0.034826466,0.314056553,0.080954516
"4590","LU1","LU1_83",2500,10,54,0.056303453,0.441796466,0.034512186,0.338639794,0.078157055
"4591","LU1","LU1_83",2750,10,54,0.057414697,0.42875291,0.041676639,0.343037818,0.080108498
"4592","LU1","LU1_83",3000,10,54,0.05342082,0.427689693,0.039155767,0.345573502,0.087617593
