array,camera,site,date
WF,1,WF_1,2020-01-29
WF,1,WF_1,2020-01-30
WF,1,WF_1,2020-01-31
WF,1,WF_1,2020-02-01
WF,1,WF_1,2020-02-02
WF,1,WF_1,2020-02-03
WF,1,WF_1,2020-02-04
WF,1,WF_1,2020-02-05
WF,1,WF_1,2020-02-06
WF,1,WF_1,2020-02-07
WF,1,WF_1,2020-02-08
WF,1,WF_1,2020-02-09
WF,1,WF_1,2020-02-10
WF,1,WF_1,2020-02-11
WF,1,WF_1,2020-02-12
WF,1,WF_1,2020-02-13
WF,1,WF_1,2020-02-14
WF,1,WF_1,2020-02-15
WF,1,WF_1,2020-02-16
WF,1,WF_1,2020-02-17
WF,1,WF_1,2020-02-18
WF,1,WF_1,2020-02-19
WF,1,WF_1,2020-02-20
WF,1,WF_1,2020-02-21
WF,1,WF_1,2020-02-22
WF,1,WF_1,2020-02-23
WF,1,WF_1,2020-02-24
WF,1,WF_1,2020-02-25
WF,1,WF_1,2020-02-26
WF,1,WF_1,2020-02-27
WF,1,WF_1,2020-02-28
WF,1,WF_1,2020-02-29
WF,1,WF_1,2020-03-01
WF,1,WF_1,2020-03-02
WF,1,WF_1,2020-03-03
WF,1,WF_1,2020-03-04
WF,1,WF_1,2020-03-05
WF,1,WF_1,2020-03-06
WF,1,WF_1,2020-03-07
WF,1,WF_1,2020-03-08
WF,1,WF_1,2020-03-09
WF,1,WF_1,2020-03-10
WF,1,WF_1,2020-03-11
WF,1,WF_1,2020-03-12
WF,1,WF_1,2020-03-13
WF,1,WF_1,2020-03-14
WF,1,WF_1,2020-03-15
WF,1,WF_1,2020-03-16
WF,1,WF_1,2020-03-17
WF,1,WF_1,2020-03-18
WF,1,WF_1,2020-03-19
WF,1,WF_1,2020-03-20
WF,1,WF_1,2020-03-21
WF,1,WF_1,2020-03-22
WF,1,WF_1,2020-03-23
WF,1,WF_1,2020-03-24
WF,1,WF_1,2020-03-25
WF,1,WF_1,2020-03-26
WF,1,WF_1,2020-03-27
WF,1,WF_1,2020-03-28
WF,1,WF_1,2020-03-29
WF,1,WF_1,2020-03-30
WF,1,WF_1,2020-03-31
WF,1,WF_1,2020-04-01
WF,1,WF_1,2020-04-02
WF,1,WF_1,2020-04-03
WF,1,WF_1,2020-04-04
WF,1,WF_1,2020-04-05
WF,1,WF_1,2020-04-06
WF,1,WF_1,2020-04-07
WF,1,WF_1,2020-04-08
WF,1,WF_1,2020-04-09
WF,1,WF_1,2020-04-10
WF,1,WF_1,2020-04-11
WF,1,WF_1,2020-04-12
WF,1,WF_1,2020-04-13
WF,1,WF_1,2020-04-14
WF,1,WF_1,2020-04-15
WF,1,WF_1,2020-04-16
WF,1,WF_1,2020-04-17
WF,1,WF_1,2020-04-18
WF,1,WF_1,2020-04-19
WF,1,WF_1,2020-04-20
WF,1,WF_1,2020-04-21
WF,1,WF_1,2020-04-22
WF,1,WF_1,2020-04-23
WF,1,WF_1,2020-04-24
WF,1,WF_1,2020-04-25
WF,1,WF_1,2020-04-26
WF,1,WF_1,2020-04-27
WF,1,WF_1,2020-04-28
WF,1,WF_1,2020-04-29
WF,10,WF_10,2018-12-05
WF,10,WF_10,2018-12-06
WF,10,WF_10,2018-12-07
WF,10,WF_10,2018-12-08
WF,10,WF_10,2018-12-09
WF,10,WF_10,2018-12-10
WF,10,WF_10,2018-12-11
WF,10,WF_10,2018-12-12
WF,10,WF_10,2018-12-13
WF,10,WF_10,2018-12-14
WF,10,WF_10,2018-12-15
WF,10,WF_10,2018-12-16
WF,10,WF_10,2018-12-17
WF,10,WF_10,2018-12-18
WF,10,WF_10,2018-12-19
WF,10,WF_10,2018-12-20
WF,10,WF_10,2018-12-21
WF,10,WF_10,2018-12-22
WF,10,WF_10,2018-12-23
WF,10,WF_10,2018-12-24
WF,10,WF_10,2018-12-25
WF,10,WF_10,2018-12-26
WF,10,WF_10,2018-12-27
WF,10,WF_10,2018-12-28
WF,10,WF_10,2018-12-29
