"","array","site","buff_dist","red_squirrel","absent_red_squirrel","harvest","seismic","linear","wells","roads","osm_industrial"
"8238","LU22","LU22_53",4500,8,42,0.144735719147927,0.0106742276396937,0,0.00100569810942277,0.00165126809155335,0.000663125082728462
"8239","LU22","LU22_53",4750,8,42,0.141289819556369,0.0106741401102159,0,0.00105623999734374,0.00155345883138363,0.00074877833349622
"8240","LU22","LU22_53",5000,8,42,0.138927594769363,0.0106279223372241,0,0.00110453760439058,0.00147465442291484,0.000757592386393433
"8241","LU22","LU22_60",250,2,46,0,0.000661815551630217,0,0.0291496210984971,0.0253903563176882,0.0769854181159174
"8242","LU22","LU22_60",500,2,46,0,0.00804768010985988,0,0.0413017260529167,0.0138636576592148,0.0243162079159009
"8243","LU22","LU22_60",750,2,46,0,0.00804153943999062,0,0.0183563226901869,0.00912329541855029,0.0125245352524886
"8244","LU22","LU22_60",1000,2,46,0,0.0126497496545482,0,0.0103254315132295,0.00675532238076585,0.00704505107952441
"8245","LU22","LU22_60",1250,2,46,0,0.0135555406842786,0,0.00660827616846799,0.00536018123424063,0.00450883269089638
"8246","LU22","LU22_60",1500,2,46,0.0141930482302719,0.012844767960596,0,0.00458908067254694,0.00447286445973355,0.00313113381312228
"8247","LU22","LU22_60",1750,2,46,0.0178887072529729,0.0134939639240191,0,0.00337315718359519,0.00382985125761041,0.00262201450921881
"8248","LU22","LU22_60",2000,2,46,0.028577697561872,0.0134247881259372,0,0.00376545600475915,0.00334510193529851,0.00200747985862067
"8249","LU22","LU22_60",2250,2,46,0.0322066849732408,0.0132917303210102,0,0.00297517511487136,0.00296509942955279,0.00179372081327611
"8250","LU22","LU22_60",2500,2,46,0.0353874563702407,0.0134312839706249,0,0.00284673029772293,0.00266199403494411,0.00145291385875353
"8251","LU22","LU22_60",2750,2,46,0.0370784951047045,0.0135810744552395,0,0.00235266966753987,0.00242860185170274,0.00120075525516833
"8252","LU22","LU22_60",3000,2,46,0.0380881914533813,0.0129953680688191,0,0.00245825473990983,0.00224176730287065,0.00112468341885068
"8253","LU22","LU22_60",3250,2,46,0.0382945946803644,0.0128076412761631,0,0.00227183133481272,0.00215100131735954,0.000958310132038461
"8254","LU22","LU22_60",3500,2,46,0.0445690492766234,0.012773839680235,0,0.00223852774726947,0.00199559815296602,0.000826298022012734
"8255","LU22","LU22_60",3750,2,46,0.0513130011942783,0.0122159904805665,0,0.00195000639317694,0.00196454424143629,0.00071979738806442
"8256","LU22","LU22_60",4000,2,46,0.0623646346006593,0.0117451608259542,0,0.00172794338804807,0.00184135684176867,0.000632634423103506
"8257","LU22","LU22_60",4250,2,46,0.0767306383581819,0.0113347319170566,0,0.00166600894013697,0.00176101108513079,0.000767757213805902
"8258","LU22","LU22_60",4500,2,46,0.0853417723306062,0.0111519973252458,2.89994274876939e-05,0.00164793883875985,0.00168968604373164,0.0012847019595589
"8259","LU22","LU22_60",4750,2,46,0.0930059423985358,0.0109887273307954,0.000142134692113722,0.00154317552690385,0.00166417195655242,0.00134918080756826
"8260","LU22","LU22_60",5000,2,46,0.0957236942005249,0.0108461563136651,0.000170267613786004,0.00149572031878714,0.00165496019136838,0.00125898058211784
"8261","LU22","LU22_61",250,2,42,0.463771311628844,0.0118893532367146,0,0,0.0218809697659419,0
"8262","LU22","LU22_61",500,2,42,0.207653985875182,0.0166458600767183,0,0.010920961366933,0.0123222876942707,0
"8263","LU22","LU22_61",750,2,42,0.1537345024543,0.0168847037672622,0,0.00485376060752616,0.00835324120262451,0
"8264","LU22","LU22_61",1000,2,42,0.136326091580648,0.0188049333023103,0,0.00273024034173358,0.00630649932502822,0
"8265","LU22","LU22_61",1250,2,42,0.118978728750687,0.0174438844119228,0,0.00174735381870958,0.00517368710152269,0
"8266","LU22","LU22_61",1500,2,42,0.108744279919574,0.0189323559551026,0,0.0012134401518816,0.00442080145503377,0
"8267","LU22","LU22_61",1750,2,42,0.0847027976185237,0.0188955212341604,0,0.00183044777693201,0.0037808037976033,0
"8268","LU22","LU22_61",2000,2,42,0.0737056271847247,0.0184427950535019,0,0.00243832073335475,0.00330693994411313,0.000187939556928049
"8269","LU22","LU22_61",2250,2,42,0.0885657388132683,0.0166198277529535,0,0.00257889814419028,0.00302240952080152,0.000950437260689902
"8270","LU22","LU22_61",2500,2,42,0.0872417816140083,0.0151838826001733,0,0.0020889074967941,0.00276675984092385,0.000790347778004367
"8271","LU22","LU22_61",2750,2,42,0.0764190375240911,0.0143550113375793,0,0.00207947020590227,0.00251776720563703,0.00093157700225124
"8272","LU22","LU22_61",3000,2,42,0.0665333503660718,0.014092325349648,0,0.00174733260357059,0.00230742174732974,0.000782783453280528
"8273","LU22","LU22_61",3250,2,42,0.0651811969335253,0.0136231858344017,0,0.00148885144919625,0.00212701125329463,0.000666987084452055
"8274","LU22","LU22_61",3500,2,42,0.0765286534440564,0.0128744501448352,0,0.00128375456588863,0.00197166966108244,0.000655503627304698
"8275","LU22","LU22_61",3750,2,42,0.0885659575116599,0.0124015825713579,0,0.00119562179916179,0.00183604287173581,0.000571016493118764
"8276","LU22","LU22_61",4000,2,42,0.0954181136845431,0.0120358872787961,0,0.00127889912112135,0.00171949799745431,0.00056754447607564
"8277","LU22","LU22_61",4250,2,42,0.101786088168491,0.0117222107719384,0,0.00113286565746392,0.00162105845608618,0.000502738359430338
