array,site,months_active,black_bear,caribou,cougar,coyote,fisher,grey_wolf,lynx,moose,red_fox,red_squirrel,snowshoe_hare,white_tailed_deer,wolverine,absent_black_bear,absent_caribou,absent_cougar,absent_coyote,absent_fisher,absent_grey_wolf,absent_lynx,absent_moose,absent_red_fox,absent_white_tailed_deer,absent_wolverine,absent_snowshoe_hare,absent_red_squirrel
LU2,LU2_3,7,2,0,0,1,2,0,0,0,0,0,1,7,0,3,7,7,6,5,7,7,7,7,0,7,6,7
LU2,LU2_33,7,3,0,1,2,0,0,2,0,0,1,7,6,0,2,7,6,5,7,7,5,7,7,1,7,0,6
LU2,LU2_29,7,2,0,0,1,1,0,1,2,0,0,2,7,0,3,7,7,6,6,7,6,5,7,0,7,5,7
LU13,LU13_18,12,1,0,0,9,0,0,4,0,0,10,11,4,0,7,12,12,3,12,12,8,12,12,8,12,1,2
LU13,LU13_15,12,4,0,0,7,0,3,1,0,0,3,9,5,0,4,12,12,5,12,9,11,12,12,7,12,3,9
LU13,LU13_3,12,6,0,0,5,0,0,0,4,0,0,0,3,0,2,12,12,7,12,12,12,8,12,9,12,12,12
LU13,LU13_34,12,2,0,0,3,1,3,0,0,0,7,0,0,0,6,12,12,9,11,9,12,12,12,12,12,12,5
LU13,LU13_57,11,0,0,0,2,0,0,1,0,0,0,2,0,0,8,11,11,9,11,11,10,11,11,11,11,9,11
LU13,LU13_16,12,3,0,0,7,0,0,4,1,0,6,2,3,0,5,12,12,5,12,12,8,11,12,9,12,10,6
LU13,LU13_21,12,1,0,0,9,0,0,1,0,0,5,8,4,0,7,12,12,3,12,12,11,12,12,8,12,4,7
LU13,LU13_37,11,2,0,0,0,0,0,1,1,0,1,3,0,0,6,11,11,11,11,11,10,10,11,11,11,8,10
LU13,LU13_55,12,1,0,0,0,0,0,0,0,0,0,0,0,0,7,12,12,12,12,12,12,12,12,12,12,12,12
LU13,LU13_47,9,1,0,0,1,0,0,2,3,0,0,3,0,0,7,9,9,8,9,9,7,6,9,9,9,6,9
LU13,LU13_51,10,4,0,0,1,0,3,3,1,0,0,0,1,1,5,10,10,9,10,7,7,9,10,9,9,10,10
LU13,LU13_27,13,0,0,0,0,0,0,0,0,0,0,5,0,0,9,13,13,13,13,13,13,13,13,13,13,8,13
LU13,LU13_5,11,2,0,0,0,0,0,0,5,0,0,0,4,0,7,11,11,11,11,11,11,6,11,7,11,11,11
LU13,LU13_26,13,3,0,0,0,1,1,1,3,0,4,3,0,0,6,13,13,13,12,12,12,10,13,13,13,10,9
LU13,LU13_35,13,7,2,0,3,0,1,0,6,0,1,0,1,0,2,11,13,10,13,12,13,7,13,12,13,13,12
LU13,LU13_13,12,5,0,0,2,1,2,2,3,0,3,3,4,1,4,12,12,10,11,10,10,9,12,8,11,9,9
LU13,LU13_128,11,4,0,0,4,0,7,5,4,0,2,6,2,0,5,11,11,7,11,4,6,7,11,9,11,5,9
LU13,LU13_131,12,5,0,0,1,0,1,6,4,0,2,7,2,3,4,12,12,11,12,11,6,8,12,10,9,5,10
LU13,LU13_12,13,2,0,0,1,0,0,1,3,0,0,2,2,0,7,13,13,12,13,13,12,10,13,11,13,11,13
LU13,LU13_33,13,2,0,0,4,0,0,9,2,0,6,8,1,1,7,13,13,9,13,13,4,11,13,12,12,5,7
LU13,LU13_32,12,3,0,0,1,0,0,2,1,0,1,9,1,1,6,12,12,11,12,12,10,11,12,11,11,3,11
LU13,LU13_30,12,4,0,0,7,0,2,2,4,1,1,5,3,0,5,12,12,5,12,10,10,8,11,9,12,7,11
LU13,LU13_53,13,2,0,0,1,0,1,0,1,0,2,5,0,1,7,13,13,12,13,12,13,12,13,13,12,8,11
LU13,LU13_22,13,3,0,0,5,0,0,2,4,0,4,7,0,0,6,13,13,8,13,13,11,9,13,13,13,6,9
LU13,LU13_19,13,2,0,0,0,0,2,1,6,0,5,10,0,0,7,13,13,13,13,11,12,7,13,13,13,3,8
LU13,LU13_45,12,2,0,0,0,0,0,1,3,0,1,5,0,0,7,12,12,12,12,12,11,9,12,12,12,7,11
LU13,LU13_8,13,4,0,0,0,0,1,0,0,0,8,1,0,0,5,13,13,13,13,12,13,13,13,13,13,12,5
LU13,LU13_43,12,0,0,0,0,0,0,1,3,0,2,3,0,0,9,12,12,12,12,12,11,9,12,12,12,9,10
LU13,LU13_41,12,4,0,0,1,0,0,5,2,0,0,0,0,0,5,12,12,11,12,12,7,10,12,12,12,12,12
LU13,LU13_59,11,1,0,0,0,0,0,0,1,0,0,3,0,0,8,11,11,11,11,11,11,10,11,11,11,8,11
LU13,LU13_6,12,1,0,0,0,0,0,0,0,0,1,1,0,0,8,12,12,12,12,12,12,12,12,12,12,11,11
LU13,LU13_14,13,3,0,0,3,0,0,1,3,0,0,4,3,0,6,13,13,10,13,13,12,10,13,10,13,9,13
LU13,LU13_52,13,2,0,0,3,0,2,0,2,0,0,0,1,0,7,13,13,10,13,11,13,11,13,12,13,13,13
LU13,LU13_36,13,1,0,0,0,1,0,0,2,0,0,0,0,0,8,13,13,13,12,13,13,11,13,13,13,13,13
LU13,LU13_38,12,2,0,0,0,0,1,4,2,0,0,2,0,0,7,12,12,12,12,11,8,10,12,12,12,10,12
LU13,LU13_20,13,3,0,0,1,0,0,2,2,0,3,6,0,0,6,13,13,12,13,13,11,11,13,13,13,7,10
LU13,LU13_17,13,5,0,0,5,0,0,3,5,0,2,5,2,0,4,13,13,8,13,13,10,8,13,11,13,8,11
LU13,LU13_56,13,2,0,0,0,0,0,1,1,0,1,9,0,0,7,13,13,13,13,13,12,12,13,13,13,4,12
LU13,LU13_49,13,1,0,0,3,0,0,4,2,0,0,13,0,0,8,13,13,10,13,13,9,11,13,13,13,0,13
LU13,LU13_70,13,3,0,0,1,0,0,1,3,0,1,2,0,0,6,13,13,12,13,13,12,10,13,13,13,11,12
LU13,LU13_11,12,1,0,0,4,0,0,2,0,0,0,7,0,0,8,12,12,8,12,12,10,12,12,12,12,5,12
LU15,LU15_44,12,1,0,0,5,1,1,3,0,0,10,12,0,0,7,12,12,7,11,11,9,12,12,12,12,0,2
LU15,LU15_11,12,1,2,0,1,0,0,0,0,0,3,0,0,0,7,10,12,11,12,12,12,12,12,12,12,12,9
LU15,LU15_19,12,0,0,0,1,0,0,1,2,0,1,1,0,0,8,12,12,11,12,12,11,10,12,12,12,11,11
