model_name,scale,df,logLik,AICc,delta,delta_subsetted,weight_subsetted,intercept,fire_0_15,lc_broadleaf,lc_coniferous,lc_mixedwood,lc_shrubs,lc_wetland,lc_wetland_treed,pipe_trans,seismic,wells_inactive,harvest_0_15,osm_industrial,wells_active,nonanthro_ed,landscape_shei,landscape_mesh,cfi_site,cfi_site:nonanthro_ed
m_harvest_seis_1250,1250,12,-4694.852507349759,9413.76862326221,8.058087754399821,0.740609263708393,0.255126221675108,-1.5625159669353148,0.0771409575205467,-0.4083622338107634,-0.07007725977060614,0.16329998253800088,NA,NA,NA,0.19763913221726231,-0.2241156750970332,-0.07275586617166652,0.1118537971582139,NA,NA,NA,NA,NA,NA,NA
m_seis_wells_5000,5000,11,-4695.858186543478,9413.770184746149,8.059649238337443,0,0.548569597617667,-1.5647326285096623,0.18999435156313266,-0.21564513805582528,0.023993519956646576,0.13906396349150646,NA,NA,NA,0.35732000997790014,-0.4337155906505623,0.015249590448183853,NA,NA,NA,NA,NA,NA,NA,NA
m_seis_wells_50,50,11,-4695.880807452094,9413.81542656338,8.1048910555691691,5.515276659778465,0.0350942457400753,-1.568976472072382,0.23412018433148754,-0.4096398025642024,0.0358801924350038,0.17034239387104824,NA,NA,NA,0.03531791622039082,-0.012049402889712596,0.051978860191499665,NA,NA,NA,NA,NA,NA,NA,NA
m_seis_wells_4250,4250,11,-4695.942024778526,9413.937861216244,8.227325708432545,0,0.514701932581114,-1.5638988285408322,0.18564547576336266,-0.21050275369308363,0.013705540327633525,0.129392607459855,NA,NA,NA,0.336158007664504,-0.40727277140080054,-0.007772768663023496,NA,NA,NA,NA,NA,NA,NA,NA
m_seis_wells_4750,4750,11,-4695.982441989097,9414.018695637387,8.308160129576208,0,0.540678683016418,-1.5641838510353527,0.1895594628267214,-0.2111817763265058,0.020259386961226204,0.1356826977893528,NA,NA,NA,0.3488830032630068,-0.4215687699889498,0.003966924136577201,NA,NA,NA,NA,NA,NA,NA,NA
m_seis_wells_4500,4500,11,-4695.990998661022,9414.035808981236,8.325273473425113,0,0.530541416465044,-1.564408790776719,0.19191048394391988,-0.2089245395420349,0.015522591637186386,0.13432249340507138,NA,NA,NA,0.3432660088328474,-0.41324760416649653,0.0050197440999950145,NA,NA,NA,NA,NA,NA,NA,NA
m_global_250,250,14,-4693.0162866411465,9414.118235121983,8.407699614172088,7.635937951716187,0.00992760049545817,-1.576078629165729,0.185985286808346,-0.4525500898551701,0.01893794526998204,0.1876571879387492,NA,NA,NA,0.0576258323184127,-0.08702268399342585,-0.1304472629187812,0.06157545238394848,0.06416327756924452,0.007359328111378751,NA,NA,NA,NA,NA
m_active_seis_100,100,13,-4694.036127540437,9414.146480203222,8.435944695411308,8.435944695411308,0.00804982417267253,-1.5699891206127194,0.2107098349094317,-0.4729696464303346,-0.01011113669733307,0.16157414135630885,NA,NA,NA,0.0040126829310776525,-0.07333871675465016,-0.06819073716106429,NA,0.02683129035258603,-0.0439166013339567,NA,NA,NA,NA,NA
m_seis_wells_1500,1500,11,-4696.110221757477,9414.274255174147,8.5637196663356,0,0.347965156037976,-1.5639285455444536,0.1343641244345739,-0.39323436722201527,-0.06536304345441935,0.16809883366868658,NA,NA,NA,0.1724449346867848,-0.2691799851443437,-0.023558079303868825,NA,NA,NA,NA,NA,NA,NA,NA
m_seis_wells_2000,2000,11,-4696.192123071429,9414.43805780205,8.727522294238952,0,0.389279463669122,-1.5616144750377223,0.13630609032860622,-0.33842782805316474,-0.053901846231375096,0.14437936811505006,NA,NA,NA,0.20751533078210538,-0.27149900261840143,-0.09367877137350324,NA,NA,NA,NA,NA,NA,NA,NA
m_harvest_1000,1000,9,-4698.322372542652,9414.68141990193,8.970884394118912,3.009366747457534,0.0880994746855058,-1.561665761491322,0.18742868272253785,-0.41106749960072503,-0.08796402862376501,0.19013088458237323,NA,NA,NA,NA,NA,NA,0.1474397258376323,NA,NA,NA,NA,NA,NA,NA
