"","site","buff_dist","array","red_squirrel","absent_red_squirrel","harvest","seismic","roads","linear","wells","lc_grassland","lc_coniferous","lc_broadleaf","lc_mixed","lc_shrub","osm_industrial","natural_cohesion","anthropogenic_cohesion","natural_ed","anthropogenic_ed","natural_tca","anthropogenic_tca"
"1323","LU2_155",750,"LU2",0,61,0.284965543886876,0.00576839280145058,0.00831444339456615,0,0,0,0.0479483797412842,0.359593016174867,0.574879869218144,0.0175787348663288,0,99.014485727667,99.6307884046673,139.418620980199,139.418620980199,84.2375,30.4325
"1324","LU2_155",1000,"LU2",0,61,0.241783322691859,0.00584263465889489,0.00642194103464021,0,0,0,0.131683724821791,0.313970102322449,0.544458134493576,0.00988803836230666,0,99.3202949407013,99.6283120094402,119.507407876409,119.507407876409,172.9325,46.1225
"1325","LU2_155",1250,"LU2",0,61,0.207847481573302,0.00651202989357949,0.00516993413295299,0,0,0,0.18801530814049,0.254762409807951,0.544414575698858,0.00632834455187745,0,99.4689475188194,99.621696506268,110.082158433918,108.844710416878,287.9825,63.6625
"1326","LU2_155",1500,"LU2",0,61,0.162316425754267,0.00723679758843104,0.00431142177471048,3.69543475956776e-08,0,0.00398658637018882,0.194077824114773,0.25465655980452,0.536770003002075,0.00439468371658169,0,99.5820721858003,99.5317797937859,100.160013534184,98.806595095268,456.27,70.9475
"1327","LU2_155",1750,"LU2",0,61,0.138474536081278,0.00744404580104926,0.00370491954376437,0.00268452647190822,0,0.0230077461851529,0.179442069144893,0.256968102075299,0.531167883482121,0.00492202875118044,0.000715431808177865,99.6564533160621,99.4964609512298,96.4765687547123,95.4816444233714,647.175,81.94
"1328","LU2_155",2000,"LU2",0,61,0.145444413982168,0.00711985569687135,0.00327682173514503,0.00278356559215144,0.00106505751098713,0.0328912310394451,0.17048022291743,0.256799243563448,0.530851498687303,0.00553848585927315,0.000612005865173641,99.6584583426271,99.5872837794204,96.6113972156898,95.8493336905506,840.97,110.925
"1329","LU2_155",2250,"LU2",0,61,0.178677114267866,0.00667322177882795,0.002908954623588,0.00291206831423539,0.00172818628947913,0.0343529278540312,0.156969159670371,0.280637027594593,0.515362862846031,0.00996053626068457,0.000483560189766829,99.6460001958489,99.7270774545641,97.2237690170803,96.6214340278486,1018.8625,184.07
"1330","LU2_155",2500,"LU2",0,61,0.204427188850077,0.00610233946188415,0.00261761547407253,0.00309305164445299,0.00196570176153075,0.0377910066179045,0.162828309613407,0.290211867346696,0.491998324800914,0.0149166405064955,0.000391683753711091,99.6335794070829,99.7917208190973,95.2464470998523,94.7584078736995,1220.8775,275.695
"1331","LU2_155",2750,"LU2",0,61,0.218469455127488,0.00557922620558423,0.00238923094519351,0.00295156272165377,0.00213381639201787,0.0365592003588013,0.183052706122403,0.291925789023423,0.468011274821362,0.0179600331666901,0.000323705581579452,99.6333077299917,99.817208219184,91.5589286502228,91.155502045499,1463.7625,368.01
"1332","LU2_155",3000,"LU2",0,61,0.232861628462962,0.00538334633588692,0.00224969846375315,0.00275796598821032,0.00231872529732754,0.0332686589921258,0.191960959260549,0.295333875364036,0.454596850864074,0.0211200600379187,0.000272002606743849,99.6562736147357,99.838623036734,91.3874820763846,91.0484343766114,1711.7675,474.29
"1333","LU2_155",3250,"LU2",0,61,0.249641405159285,0.00533079039816365,0.00209294710639209,0.00244163287377973,0.00197571859653934,0.0303049461964328,0.190483555336353,0.302666174034222,0.437931157032423,0.0319130370527217,0.00023176553474031,99.6516180667264,99.8729680041785,92.4017363418086,92.1127975073006,1954.1525,603.935
"1334","LU2_155",3500,"LU2",0,61,0.268819899872298,0.00552906836282493,0.00193740631742133,0.00215592533023337,0.00227274978704104,0.0290695941848416,0.194416349998369,0.303739395792896,0.425711399539374,0.0390251098680081,0.000199838649852619,99.6266903941758,99.8881015632317,93.7355421987732,93.3293448997906,2188.9,767.7875
"1335","LU2_155",3750,"LU2",0,61,0.278859976710671,0.00539018504528906,0.00180905701942297,0.0020945820953531,0.00226972024292998,0.0275732328542269,0.193684218952281,0.30711505888725,0.420655913533051,0.0381024957701438,0.000235875431451717,99.6395775077279,99.8996454844571,93.5990611262867,93.0167875685161,2457,917.4725
"1336","LU2_155",4000,"LU2",0,61,0.279793043782838,0.00530817643373038,0.00169215508859635,0.00202256499294322,0.00213289892661514,0.0249669249684232,0.196212944618145,0.305233950396268,0.424087891296981,0.0356537076225808,0.000358013825864511,99.6579071343866,99.901637813166,93.2058865620379,92.4148102211834,2787.355,1051.0375
"1337","LU2_155",4250,"LU2",0,61,0.281049617104185,0.00524474236598859,0.00159034067420106,0.00193351539522071,0.00207977924294213,0.0240568944959989,0.199259507748931,0.306794210913497,0.423007210338612,0.0337338928241075,0.000359579882445041,99.6668167641225,99.9083908640804,91.179019924363,90.4447489722188,3165.6725,1199.5125
"1338","LU2_155",4500,"LU2",0,61,0.285190067889353,0.0050854892557846,0.00150465164862721,0.00227552460293429,0.00197066086456339,0.0277913461618438,0.196495163141471,0.310480194031593,0.418772490485888,0.0326622449531993,0.000346759611564848,99.6731547181371,99.9220665915307,90.0427834575867,89.2526933551145,3532.4425,1382.365
"1339","LU2_155",4750,"LU2",0,61,0.286073116178254,0.00493981115964121,0.00148272834554533,0.00255420542214492,0.00188088844903483,0.0333339639912654,0.196968418526781,0.316079881568043,0.40910745165332,0.0303930855687088,0.000381606670545079,99.6711848890491,99.9256289219717,89.1463141258359,88.3589058902648,3937.1675,1561.0475
"1340","LU2_155",5000,"LU2",0,61,0.284320058068802,0.0049337418768477,0.00161109862267206,0.00271559233695502,0.00190299530718301,0.0371388053849772,0.19576546847236,0.317813850239856,0.405382565457602,0.0276552402268778,0.000344400020166922,99.6716124033437,99.9290643846696,88.9415414489393,88.1646899688178,4369.185,1724.64
"1341","LU2_100",250,"LU2",3,26,0.0267109380113723,0.00259426927315759,0.0215211804142127,0.0482511339494509,0,0.21424596387726,0.0306980361635038,0,0.543209609459297,0,0,98.681141524403,98.8215011554359,118.321086063022,118.321086063022,10.8975,2.85
"1342","LU2_100",500,"LU2",3,26,0.0462440740373963,0.00752186967056202,0.0287864535729055,0.027129413349588,0,0.149046782522299,0.175914775537432,0,0.507072445169975,0.000457052770230885,0.035482527354944,98.5478166201723,99.4603977527377,124.410043420804,124.410043420804,43.8725,11.5875
"1343","LU2_100",750,"LU2",3,26,0.0517410215586654,0.00741692232324893,0.0228503477700745,0.0162577824059917,0.0051265832666251,0.0856242201186687,0.25623993324305,0,0.493279680096431,0.0310626490877784,0.0175705091678971,99.035804595107,99.4709818633116,116.267640244331,116.267640244331,108.615,20.2425
"1344","LU2_100",1000,"LU2",3,26,0.062194649254435,0.00814432057476331,0.0197667558820219,0.0136687179647527,0.00538756461738387,0.0717460361496208,0.242924815351248,0.00183434372282767,0.504415680919739,0.0540503894201846,0.00988341140694316,99.1794080193943,99.500220424182,118.201101753942,116.570632558729,192.2475,36
"1345","LU2_100",1250,"LU2",3,26,0.0818857537602073,0.00861148886328389,0.0170511438569219,0.0112686475051417,0.00556035528907777,0.0589086498463229,0.251050536551515,0.0238731407974629,0.490740853699031,0.0569162550655163,0.00632538330044435,99.2626681730462,99.607764454985,113.468559837728,111.338742393509,296.7025,58.485
"1346","LU2_100",1500,"LU2",3,26,0.103068089038736,0.00941149483243608,0.0151844122025168,0.00937165196468668,0.00515562726656462,0.048944553744836,0.239693959467357,0.0458506547485105,0.492417672903185,0.0682836242454253,0.00789286155235191,99.339534411309,99.6678021705505,112.0098687109,109.655476253414,423.0375,89.295
"1347","LU2_100",1750,"LU2",3,26,0.121217855602893,0.00846579744823514,0.0140191887968774,0.00911575148828938,0.00533145006692773,0.0382585905507141,0.244717073721952,0.0530535759516119,0.486184030880218,0.0813146026099411,0.00684369711514416,99.4018540463148,99.7404963909306,102.350575725227,100.371034439873,584.0025,135.37
"1348","LU2_100",2000,"LU2",3,26,0.153881493438894,0.00841386753409698,0.0127538430662577,0.00891817880266157,0.00670140731884328,0.0368954857423632,0.239763948011098,0.0677085317160369,0.480996123333164,0.084168345344747,0.00527135682331437,99.4349236743418,99.7961356405995,100.222266322683,98.678309188331,739.3075,207.945
"1349","LU2_100",2250,"LU2",3,26,0.178313165627767,0.00820428379180108,0.0124643875908792,0.00991041000634051,0.00768591012548296,0.0364428523061486,0.226682010045562,0.0785198490750889,0.465589907304868,0.0945101512636663,0.008520579998999,99.3975391554824,99.8587243242426,104.725214739708,102.642129766155,877.225,304.44
"1350","LU2_100",2500,"LU2",3,26,0.202997729539335,0.0079382652352512,0.0123412479436126,0.00943793316779175,0.00663920253508022,0.035711138130256,0.21391622770565,0.0942764390359708,0.44158534858171,0.105564545538448,0.00892681944894288,99.3597010252562,99.8829668687154,104.195341164569,101.539177148347,1023.4675,422.5675
"1351","LU2_100",2750,"LU2",3,26,0.2179294735999,0.00842826989248667,0.0116003719969678,0.00839754273537113,0.00612841464565584,0.0337820412988584,0.200102866706983,0.108018013960714,0.433183005005976,0.11505434426396,0.010187878623764,99.3227888410048,99.9073305135993,105.528672912591,102.318163958675,1194.96,544.5425
"1352","LU2_100",3000,"LU2",3,26,0.217569899412111,0.00864518423508554,0.0109105059556303,0.00743741311363847,0.00656828534231181,0.0319537773608061,0.192754492729766,0.114498420573188,0.438089941702609,0.119210104670376,0.0113470602866126,99.3244450540704,99.912388810531,104.156145041268,100.848675776187,1437.535,642.8925
"1353","LU2_100",3250,"LU2",3,26,0.213550184796089,0.00836487399609025,0.0101446179845386,0.00672008342366328,0.00608176195979733,0.0322177280970758,0.194385878428573,0.112081432019291,0.442537940259336,0.11769523231299,0.0144987673842264,99.4232833650334,99.9173404201411,101.434466318936,98.0017998549281,1711.32,748.08
