array,camera,site,treatment,date
CL,1,CL_1,post,2019-03-20
CL,1,CL_1,post,2019-03-21
CL,1,CL_1,post,2019-03-22
CL,1,CL_1,post,2019-03-23
CL,1,CL_1,post,2019-03-24
CL,1,CL_1,post,2019-03-25
CL,1,CL_1,post,2019-03-26
CL,1,CL_1,post,2019-03-27
CL,1,CL_1,post,2019-03-28
CL,1,CL_1,post,2019-03-29
CL,1,CL_1,post,2019-03-30
CL,1,CL_1,post,2019-03-31
CL,1,CL_1,post,2019-04-01
CL,1,CL_1,post,2019-04-02
CL,1,CL_1,post,2019-04-03
CL,1,CL_1,post,2019-04-04
CL,1,CL_1,post,2019-04-05
CL,1,CL_1,post,2019-04-06
CL,1,CL_1,post,2019-04-07
CL,1,CL_1,post,2019-04-08
CL,1,CL_1,post,2019-04-09
CL,1,CL_1,post,2019-04-10
CL,1,CL_1,post,2019-04-11
CL,1,CL_1,post,2019-04-12
CL,1,CL_1,post,2019-04-13
CL,1,CL_1,post,2019-04-14
CL,1,CL_1,post,2019-04-15
CL,1,CL_1,post,2019-04-16
CL,1,CL_1,post,2019-04-17
CL,1,CL_1,post,2019-04-18
CL,1,CL_1,post,2019-04-19
CL,1,CL_1,post,2019-04-20
CL,1,CL_1,post,2019-04-21
CL,1,CL_1,post,2019-04-22
CL,1,CL_1,post,2019-04-23
CL,1,CL_1,post,2019-04-24
CL,1,CL_1,post,2019-04-25
CL,1,CL_1,post,2019-04-26
CL,1,CL_1,post,2019-04-27
CL,1,CL_1,post,2019-04-28
CL,1,CL_1,post,2019-04-29
CL,1,CL_1,post,2019-04-30
CL,1,CL_1,post,2019-05-01
CL,1,CL_1,post,2019-05-02
CL,1,CL_1,post,2019-05-03
CL,1,CL_1,post,2019-05-04
CL,1,CL_1,post,2019-05-05
CL,1,CL_1,post,2019-05-06
CL,1,CL_1,post,2019-05-07
CL,1,CL_1,post,2019-05-08
CL,1,CL_1,post,2019-05-09
CL,1,CL_1,post,2019-05-10
CL,1,CL_1,post,2019-05-11
CL,1,CL_1,post,2019-05-12
CL,1,CL_1,post,2019-05-13
CL,1,CL_1,post,2019-05-14
CL,1,CL_1,post,2019-05-15
CL,1,CL_1,post,2019-05-16
CL,1,CL_1,post,2019-05-17
CL,1,CL_1,post,2019-05-18
CL,1,CL_1,post,2019-05-19
CL,1,CL_1,post,2019-05-20
CL,1,CL_1,post,2019-05-21
CL,1,CL_1,post,2019-05-22
CL,1,CL_1,post,2019-05-23
CL,1,CL_1,post,2019-05-24
CL,1,CL_1,post,2019-05-25
CL,1,CL_1,post,2019-05-26
CL,1,CL_1,post,2019-05-27
CL,1,CL_1,post,2019-05-28
CL,1,CL_1,post,2019-05-29
CL,1,CL_1,post,2019-05-30
CL,1,CL_1,post,2019-05-31
CL,1,CL_1,post,2019-06-01
CL,1,CL_1,post,2019-06-02
CL,1,CL_1,post,2019-06-03
CL,1,CL_1,post,2019-06-04
CL,1,CL_1,post,2019-06-05
CL,1,CL_1,post,2019-06-06
CL,1,CL_1,post,2019-06-07
CL,1,CL_1,post,2019-06-08
CL,1,CL_1,post,2019-06-09
CL,1,CL_1,post,2019-06-10
CL,1,CL_1,post,2019-06-11
CL,1,CL_1,post,2019-06-12
CL,1,CL_1,post,2019-06-13
CL,1,CL_1,post,2019-06-14
CL,1,CL_1,post,2019-06-15
CL,1,CL_1,post,2019-06-16
CL,1,CL_1,post,2019-06-17
CL,1,CL_1,post,2019-06-18
CL,1,CL_1,post,2019-06-19
CL,1,CL_1,post,2019-06-20
CL,1,CL_1,post,2019-06-21
CL,1,CL_1,post,2019-06-22
CL,1,CL_1,post,2019-06-23
CL,1,CL_1,post,2019-06-24
CL,1,CL_1,post,2019-06-25
CL,1,CL_1,post,2019-06-26
CL,1,CL_1,post,2019-06-27
CL,1,CL_1,post,2019-06-28
CL,1,CL_1,post,2019-06-29
CL,1,CL_1,post,2019-06-30
CL,1,CL_1,post,2019-07-01
CL,1,CL_1,post,2019-07-02
CL,1,CL_1,post,2019-07-03
CL,1,CL_1,post,2019-07-04
CL,1,CL_1,post,2019-07-05
CL,1,CL_1,post,2019-07-06
CL,1,CL_1,post,2019-07-07
CL,1,CL_1,post,2019-07-08
CL,1,CL_1,post,2019-07-09
CL,1,CL_1,post,2019-07-10
CL,1,CL_1,post,2019-07-11
CL,1,CL_1,post,2019-07-12
CL,1,CL_1,post,2019-07-13
CL,1,CL_1,post,2019-07-14
CL,1,CL_1,post,2019-07-15
CL,1,CL_1,post,2019-07-16
CL,1,CL_1,post,2019-07-17
CL,1,CL_1,post,2019-07-18
CL,1,CL_1,post,2019-07-19
CL,1,CL_1,post,2019-07-20
CL,1,CL_1,post,2019-07-21
CL,1,CL_1,post,2019-07-22
CL,1,CL_1,post,2019-07-23
CL,1,CL_1,post,2019-07-24
CL,1,CL_1,post,2019-07-25
CL,1,CL_1,post,2019-07-26
CL,1,CL_1,post,2019-07-27
CL,1,CL_1,post,2019-07-28
CL,1,CL_1,post,2019-07-29
CL,1,CL_1,post,2019-07-30
CL,1,CL_1,post,2019-07-31
CL,1,CL_1,post,2019-08-01
CL,1,CL_1,post,2019-08-02
CL,1,CL_1,post,2019-08-03
CL,1,CL_1,post,2019-08-04
CL,1,CL_1,post,2019-08-05
CL,1,CL_1,post,2019-08-06
CL,1,CL_1,post,2019-08-07
CL,1,CL_1,post,2019-08-08
CL,1,CL_1,post,2019-08-09
CL,1,CL_1,post,2019-08-10
CL,1,CL_1,post,2019-08-11
CL,1,CL_1,post,2019-08-12
CL,1,CL_1,post,2019-08-13
CL,1,CL_1,post,2019-08-14
CL,1,CL_1,post,2019-08-15
CL,1,CL_1,post,2019-08-16
CL,1,CL_1,post,2019-08-17
CL,1,CL_1,post,2019-08-18
CL,1,CL_1,post,2019-08-19
CL,1,CL_1,post,2019-08-20
CL,1,CL_1,post,2019-08-21
CL,1,CL_1,post,2019-08-22
CL,1,CL_1,post,2019-08-23
CL,1,CL_1,post,2019-08-24
CL,1,CL_1,post,2019-08-25
CL,1,CL_1,post,2019-08-26
CL,1,CL_1,post,2019-08-27
CL,1,CL_1,post,2019-08-28
CL,1,CL_1,post,2019-08-29
CL,1,CL_1,post,2019-08-30
CL,1,CL_1,post,2019-08-31
CL,1,CL_1,post,2019-09-01
CL,1,CL_1,post,2019-09-02
CL,1,CL_1,post,2019-09-03
CL,1,CL_1,post,2019-09-04
CL,1,CL_1,post,2019-09-05
CL,1,CL_1,post,2019-09-06
CL,1,CL_1,post,2019-09-07
CL,1,CL_1,post,2019-09-08
CL,1,CL_1,post,2019-09-09
CL,1,CL_1,post,2019-09-10
CL,1,CL_1,post,2019-09-11
CL,1,CL_1,post,2019-09-12
CL,1,CL_1,post,2019-09-13
CL,1,CL_1,post,2019-09-14
CL,1,CL_1,post,2019-09-15
CL,1,CL_1,post,2019-09-16
CL,1,CL_1,post,2019-09-17
CL,1,CL_1,post,2019-09-18
CL,1,CL_1,post,2019-09-19
CL,1,CL_1,post,2019-09-20
CL,1,CL_1,post,2019-09-21
CL,1,CL_1,post,2019-09-22
CL,1,CL_1,post,2019-09-23
CL,1,CL_1,post,2019-09-24
CL,1,CL_1,post,2019-09-25
CL,1,CL_1,post,2019-09-26
CL,1,CL_1,post,2019-09-27
CL,1,CL_1,post,2019-09-28
CL,1,CL_1,post,2019-09-29
CL,1,CL_1,post,2019-09-30
CL,1,CL_1,post,2019-10-01
CL,1,CL_1,post,2019-10-02
CL,1,CL_1,post,2019-10-03
CL,1,CL_1,post,2019-10-04
CL,1,CL_1,post,2019-10-05
CL,1,CL_1,post,2019-10-06
CL,1,CL_1,post,2019-10-07
CL,1,CL_1,post,2019-10-08
CL,1,CL_1,post,2019-10-09
CL,1,CL_1,post,2019-10-10
CL,1,CL_1,post,2019-10-11
CL,1,CL_1,post,2019-10-12
CL,1,CL_1,post,2019-10-13
CL,1,CL_1,post,2019-10-14
CL,1,CL_1,post,2019-10-15
CL,1,CL_1,post,2019-10-16
CL,1,CL_1,post,2019-10-17
CL,1,CL_1,post,2019-10-18
CL,1,CL_1,post,2019-10-19
CL,1,CL_1,post,2019-10-20
CL,1,CL_1,post,2019-10-21
CL,1,CL_1,post,2019-10-22
CL,1,CL_1,post,2019-10-23
CL,1,CL_1,post,2019-10-24
CL,1,CL_1,post,2019-10-25
CL,1,CL_1,post,2019-10-26
