"Site","BUFF_DIST","Feature_Area","Buffer_Area","CONVENTIONAL-SEISMIC","LOW-IMPACT-SEISMIC","TRAIL","HARVEST-AREA","WELL-ABAND","RUNWAY","WELL-OTHER","CLEARING-WELLPAD-UNCONFIRMED","CLEARING-UNKNOWN","VEGETATED-EDGE-ROADS","ROAD-GRAVEL-1L","TRUCK-TRAIL","ROAD-UNIMPROVED","ROAD-WINTER","ROAD-WINTER-ACCESS","BORROWPITS","SUMP","BORROWPIT-DRY"
"RICH07","1000","0","3140157.37457685","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"RICH08","1000","0","3140157.37457652","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"RICH09","1000","0","3140157.37457716","0.00384288638241789","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"RICH10","1000","0","3140157.37457686","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"RICH11","1000","0","3140157.37457704","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"RICH12","1000","0","3140157.37457654","0.00382427012421405","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"RICH13","1000","0","3140157.37457694","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"RICH14","1000","0","3140157.37457605","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"RICH15","1000","0","3140157.37457673","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"RICH16","1000","0","3140157.37457694","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"RICH17","1000","0","3140157.37457683","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"RICH18","1000","0","3140157.37457667","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"RICH19","1000","0","3140157.37457648","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"RICH20","1000","0","3140157.37457685","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"RICH21","1000","0","3140157.37457656","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"RICH22","1000","0","3140157.37457706","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"RICH23","1000","0","3140157.37457686","0.00391713881327179","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"RICH24","1000","0","3140157.37457683","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"RICH25","1000","0","3140157.3745768","0.0038205816887547","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"RICH26","1000","0","3140157.37457689","0.00382163462033941","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"RICH27","1000","0","3140157.3745768","0.00481247403747653","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"RICH28","1000","0","3140157.3745768","0.00382224611741146","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"RICH29","1000","0","3140157.37457703","0.00382764051521937","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"RICH30","1000","0","3140157.37457667","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"RICH31","1000","0","3140157.3745768","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"RICH32","1000","0","3140157.3745768","0.000105781228644123","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"RICH33","1000","0","3140157.37457688","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"RICH34","1000","0","3140157.37457683","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"RICH35","1000","0","3140157.37457695","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"RICH36","1000","0","3140157.37457687","0.00381905527130853","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"RICH37","1000","0","3140157.37457675","0.00223036459564122","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"RICH38","1000","0","3140157.374577","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"RICH39","1000","0","3140157.37457673","0.00379108064956695","0","0","0","0","0","0","0","0","0","0","0","0","0.00281948111147481","0","0","0","0"
"RICH40","1000","0","3140157.37457721","0.00332859448202478","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"RICH41","1000","0","3140157.37457657","0.00384800191363345","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"RICH42","1000","0","3140157.37457664","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"RICH43","1000","0","3140157.37457689","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"RICH44","1000","0","3140157.37457672","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"RICH45","1000","0","3140157.37457647","0.00215006759157687","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"RICH46","1000","0","3140157.3745767","0.00272415974758766","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"RICH47","1000","0","3140157.37457706","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
