array,site,buff_dist,buffer_area,harvest,pipeline,roads,seismic_lines,seismic_lines_3D,trails,transmission_lines,veg_edges,wells,lc_grassland,lc_water,lc_coniferous,lc_broadleaf,lc_mixed,lc_developed,lc_shrub,osm_industrial
LU15,LU15_27,4500,0,0,0.011294136,0.0023012180000000007,0.013092376000000003,0,4.3092200000000025e-4,0,0.00358392,0.006413183000000001,0.07642329000000003,0.00479163,0.6378013760000002,0.00176841,0.028925896000000006,0.015472586,0.23381363100000005,0.005604624
LU15,LU15_28,4500,0,0,0.010043759999999999,0.001766896,0.010847800000000003,0,4.362760000000002e-4,0,0.003020634,0.004780083000000001,0.067297835,0.008922254,0.734621348,0.001798612,0.018419006,0.013067692,0.15417362499999995,0.004396622
LU15,LU15_02,4500,0,0,0.009172818,0.001637637,0.01037099,0,4.170090000000002e-4,0,0.002894905,0.005480333,0.054971061000000015,0.008599868,0.778440543,0.0034509410000000008,0.014147282,0.011947070999999998,0.12507007199999995,0.0022949859999999997
LU15,LU15_29,4500,0,0,0.010145719999999999,0.0016960999999999999,0.010137759999999999,0,2.663040000000002e-4,0,0.002950589,0.005361067000000001,0.051794031,0.008331006,0.842548144,0.002434808000000001,0.008229025000000003,0.013153601,0.071390298,0.0029714050000000007
LU15,LU15_30,4500,0,0,0.010120565,0.0016822509999999996,0.010208636,0,2.731400000000001e-4,0,0.002832985,0.005106249300000002,0.050936552,0.010854427,0.882497693,0.0010328170000000001,0.009193004999999997,0.012991545,0.030522986999999994,0.0018268300000000004
LU15,LU15_31,4500,0,0,0.009536675000000003,0.001453677,0.009166361999999997,0,3.000870000000001e-4,0,0.002479704000000001,0.004603911000000001,0.048417607000000015,0.009006032,0.8899629889999996,0.004138742,0.016384403000000006,0.011192332999999999,0.019719215999999994,0.0017512000000000003
LU15,LU15_32,4500,0,0,0.008238821,0.001186128,0.008294533000000003,0,4.478760000000002e-4,0,0.002058335,0.003696185,0.04965050800000002,0.009486432,0.8875811049999998,0.00602667,0.017678449000000006,0.008877477,0.02069936,0.0017512000000000003
LU15,LU15_20,4500,0,0,0.006393813,0.0022329150000000002,0.01269711,0,2.040250000000001e-4,0,0.002610521,0.004893405000000001,0.087284332,0.031063557000000006,0.602887516,0.060054631,0.10195006499999998,0.016195064000000006,0.099291013,0.008107589000000002
LU15,LU15_21,4500,0,0,0.007594683999999998,0.0025692540000000017,0.011280042,0,6.830000000000005e-5,0,0.002864780000000001,0.005340645,0.045821146,0.001992519,0.603706444,0.066635412,0.13442903800000006,0.019060436000000007,0.127958706,0.0040000570000000004
LU15,LU15_23,4500,0,0,0.010492665,0.0032383940000000003,0.014009334,0,2.683790000000001e-4,0,0.003785198,0.007493488999999999,0.07568870000000003,0.005364008999999999,0.5919456040000002,0.06887642000000002,0.12387675100000003,0.023179152999999994,0.108717512,0.011689923000000001
LU15,LU15_41,4500,0,0,0.011758746999999993,0.003442187000000001,0.015104283999999999,0,2.443390000000001e-4,0,0.004008841999999999,0.007312401000000001,0.063842185,0,0.5956649809999998,0.061118772,0.13199783700000006,0.024699959,0.120324414,0.011796930000000004
LU15,LU15_25,4500,0,0,0.013326011,0.0027778259999999997,0.010823473999999998,0,7.320000000000004e-5,0,0.0032609130000000007,0.007133504,0.08475142100000002,0,0.645631743,0.03510656900000001,0.090218025,0.020355516000000014,0.12354042600000002,0.003868301000000001
LU15,LU15_09,4500,0,0,0.010571190999999999,0.0023895259999999995,0.0109,0,1.2670000000000007e-4,0,0.002801154,0.005775997000000001,0.078951328,0,0.628282456,0.038339905,0.110446591,0.018350520000000013,0.1252329,0.00368696
LU15,LU15_24,4500,0,0,0.008751904999999997,0.00277604,0.013014998,0,1.7354000000000008e-4,0,0.003220076,0.005901858000000001,0.07088639199999998,0.021039313,0.5880619649999997,0.062326448,0.126719551,0.01989039,0.10980212,0.008107589000000002
LU15,LU15_46,4500,0,0,0.009937249,0.003089395,0.012112970999999998,0,6.830000000000005e-5,0,0.003562787,0.006579547000000002,0.050524153,0.004396970999999999,0.5768510240000002,0.06379074800000004,0.144638656,0.022239004999999992,0.136330719,0.0076480590000000005
LU15,LU15_40,4500,0,0,0.020181661,9.320110000000002e-4,0.006591537,0.016047760999999994,2.370700000000001e-4,0,0.0029651720000000003,0.007820932000000001,0.05236626200000001,0,0.837233023,0.004501479,0.056842069000000016,0.0029831819999999996,0.046073985,0.0012471860000000004
LU15,LU15_16,4500,0,0,0.012743507999999999,0.0013839440000000007,0.006590907,0.012115517,3.236970000000002e-4,0,0.001706741,0.008414090000000003,0.049481708,0,0.85976275,0.004700273999999998,0.05804237900000001,0.006907803999999998,0.021105085000000006,0.0029668140000000003
LU15,LU15_04,4500,0,0,0.016506813,0.0027250490000000007,0.012168327999999996,0,1.1890000000000007e-4,0,0.0032481470000000007,0.00740972,0.03681667700000001,0,0.838485095,6.864480000000002e-4,0.03883284600000001,0.01893968,0.06623925400000003,0.004452664
LU15,LU15_36,4500,0,0,0.014592845000000004,0.002579242,0.013523622,0,1.2430000000000007e-4,0,0.003113751,0.006939429000000002,0.035250612,0,0.761604504,0.0011273420000000001,0.07466577500000006,0.017367379000000013,0.10998438599999998,0.002622958
