buffer,site,water_cai_mn,natural_cai_mn,anthropogenic_cai_mn,water_ed,natural_ed,anthropogenic_ed,water_tca,natural_tca,anthropogenic_tca,landscape_cai_mn,landscape_ed,landscape_tca,natural_cohesion
500,LU22_11,25.178277564454195,24.23502210057455,7.047244094488188,13.596877753997228,147.6772000503588,149.5656552939695,2.295,33.705,5.8175,NA,NA,NA,98.42641317020336
750,LU22_11,79.12260086173129,30.643288035609977,2.2020808408819006,12.218071510827738,141.78580456703085,138.05016431199616,20.2,73.975,10.3075,NA,NA,NA,98.6132123248148
1000,LU22_11,28.94966957668544,33.700356026858366,1.1534353968784308,9.70305179181968,131.93301253640624,127.8966696213752,50.4875,123.32,19.3325,NA,NA,NA,98.52927217167156
1250,LU22_11,20.926428625717747,35.16065862030391,0.9105412558159388,9.351529259028233,127.96989659561736,123.16227743208223,83.39,200.93,25.5975,NA,NA,NA,98.57128254889722
1500,LU22_11,27.345768109698177,35.709556188120466,0.7760273849848558,10.43289463481344,131.36283210793815,124.69423864541552,102.74,309.5675,32.475,NA,NA,NA,98.61465751918207
1750,LU22_11,27.33983704331451,35.9757173992599,1.4012300334229746,8.053002645468371,139.90667015595565,134.67273664763968,102.8575,431.75,50.857499999999995,NA,NA,NA,98.5114703563636
2000,LU22_11,27.33983704331451,37.77644110618935,0.49705633186110265,6.167927175593425,144.81530947792902,140.80655372030395,102.8575,590.135,62.6625,NA,NA,NA,98.45229410442606
2250,LU22_11,33.62856824759106,38.89879737397337,0.7885447055104959,6.217824639777137,142.45782890629656,137.9466120384865,108.6675,784.1575,76.59,NA,NA,NA,98.56968522337706
2500,LU22_11,33.34739296451693,41.26114498239673,0.29223828581341904,6.349295108780607,140.03779584398222,135.132215555773,141.2025,982.69,85.49,NA,NA,NA,98.61510885338096
2750,LU22_11,38.51975087735824,41.049631178765175,0.25300201677931994,6.362266799178872,137.94436588497072,132.8007631358327,194.205,1188.1525,101.56,NA,NA,NA,98.67927402414544
